


1,07/04/2022,25351.280457/2022-52,1574667/22-4,10488,GENÉRICO - Registro de Medicamento - CLONE
2,07/04/2022,25351.280458/2022-05,1574670/22-4,10490,SIMILAR - Registro de Produto - CLONE
3,11/08/2023,25351.523204/2023-60,0844082/23-4,10488,GENÉRICO - Registro de Medicamento - CLONE
4,11/08/2023,25351.523205/2023-12,0844085/23-9,10488,GENÉRICO - Registro de Medicamento - CLONE
5,01/12/2023,25351.813005/2023-41,1358607/23-6,10487,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento - CLONE
6,04/12/2023,25351.816895/2023-42,1368279/23-2,10488,GENÉRICO - Registro de Medicamento - CLONE
7,04/12/2023,25351.816951/2023-49,1368567/23-8,10487,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento - CLONE
8,04/12/2023,25351.818325/2023-97,1370274/23-2,10490,SIMILAR - Registro de Produto - CLONE
9,04/12/2023,25351.818468/2023-07,1370531/23-8,10490,SIMILAR - Registro de Produto - CLONE
10,05/12/2023,25351.822512/2023-75,1379455/23-8,10490,SIMILAR - Registro de Produto - CLONE
11,05/12/2023,25351.822513/2023-10,1379458/23-2,10490,SIMILAR - Registro de Produto - CLONE
12,05/12/2023,25351.822514/2023-64,1379461/23-2,10490,SIMILAR - Registro de Produto - CLONE
13,05/12/2023,25351.822515/2023-17,1379464/23-7,10490,SIMILAR - Registro de Produto - CLONE
14,05/12/2023,25351.822516/2023-53,1379467/23-1,10490,SIMILAR - Registro de Produto - CLONE
15,06/12/2023,25351.824747/2023-00,1385196/23-9,10490,SIMILAR - Registro de Produto - CLONE
16,06/12/2023,25351.824894/2023-71,1385695/23-2,10490,SIMILAR - Registro de Produto - CLONE
17,06/12/2023,25351.824895/2023-16,1385780/23-1,10490,SIMILAR - Registro de Produto - CLONE
18,11/12/2023,25351.836253/2023-60,1404894/23-9,10489,PRODUTO BIOLÓGICO - Registro de Medicamento - CLONE
19,14/12/2023,25351.847124/2023-05,1423284/23-7,10490,SIMILAR - Registro de Produto - CLONE
20,14/12/2023,25351.847125/2023-41,1423287/23-1,10490,SIMILAR - Registro de Produto - CLONE
21,15/12/2023,25351.849753/2023-61,1428304/23-2,10490,SIMILAR - Registro de Produto - CLONE
22,15/12/2023,25351.852108/2023-26,1431730/23-3,10489,PRODUTO BIOLÓGICO - Registro de Medicamento - CLONE
23,18/12/2023,25351.854500/2023-18,1436486/23-7,10490,SIMILAR - Registro de Produto - CLONE
24,19/12/2023,25351.857514/2023-85,1442440/23-1,10487,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento - CLONE
25,20/12/2023,25351.862470/2023-13,1450094/23-9,10490,SIMILAR - Registro de Produto - CLONE
26,20/12/2023,25351.862471/2023-50,1450097/23-3,10490,SIMILAR - Registro de Produto - CLONE
27,21/12/2023,25351.866381/2023-38,1456726/23-1,10490,SIMILAR - Registro de Produto - CLONE
28,21/12/2023,25351.866382/2023-82,1456731/23-8,10490,SIMILAR - Registro de Produto - CLONE
29,22/12/2023,25351.868730/2023-56,1460890/23-1,10488,GENÉRICO - Registro de Medicamento - CLONE
30,23/12/2023,25351.872516/2023-02,1466446/23-1,10490,SIMILAR - Registro de Produto - CLONE
31,27/12/2023,25351.877021/2023-61,1473880/23-5,10488,GENÉRICO - Registro de Medicamento - CLONE
32,28/12/2023,25351.881528/2023-10,1481141/23-3,10485,ESPECÍFICO - Registro de Medicamento - CLONE
33,03/01/2024,25351.889878/2024-13,0005738/24-0,10490,SIMILAR - Registro de Produto - CLONE
