NOME_PRODUTO,Expediente,DataExpediente,Processo,Empresa,CNPJ,Assunto,EncontraSeNa,SituacaoAtual,DataInicio,URL,DiasDesdeExpediente,Fila ou Lista,"Area, fila e subfila",Posição Atual,Variação Posição
acetato de dexametasona,6967994/21-1,15/12/2021,25351.336573/2017-76,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 15/12/2021",Anuído,25/03/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/6967994211/,848.0,,,,
Não consta,0636517/12-5,06/08/2012,25351.443788/2012-50,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"70143 -
                        Requerimento de Restituição de Taxa de Fiscalização de Vigilância Sanitária (TFVS)","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 17/10/2023",Distribuído para a área responsável,,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0636517125/,4266.0,,,,
aripiprazol,0828126/23-2,08/08/2023,25351.512718/2023-90,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 13/09/2023",Publicado deferimento,18/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828126232/,247.0,,,,
Não consta,0927032/23-6,31/08/2023,25351.572272/2023-52,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"769 -
                        MEDICAMENTOS - (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL","COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS
                        Desde: 26/09/2023",Publicado deferimento,09/10/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0927032236/,224.0,,,,
Não consta,4226319/22-2,30/05/2022,25351.143271/2016-12,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"70512 - MEDICAMENTOS – RENOVAÇÃO (Certificação de BPF) de INDÚSTRIA INTERNACIONAL de SÓLIDOS NÃO ESTÉREIS, exceto MERCOSUL","COIME - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE MEDICAMENTOS
                            Desde: 29/11/2022",Revalidação automática em 05/12/2022.,05/12/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4226319222/,682.0,,,,
AZITROMICINA,0886239/13-7,18/10/2013,25351.280059/2008-88,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 02/04/2014",Revalidação automática em 14/05/2014.,02/04/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0886239137/,3828.0,,,,
AZITROMICINA,0815618/18-2,16/08/2018,25351.280059/2008-88,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            
                            Enc.: 01/03/2019",Revalidação automática,08/07/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0815618182/,2065.0,,,,
AZITROMICINA,0262089/20-8,24/01/2020,25351.280059/2008-88,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10941 - RDC 73/2016 - GENÉRICO - Inclusão de novo fabricante do IFA,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 16/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 20/04/2020.,14/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0262089208/,1539.0,,,,
AZITROMICINA,0676398/23-7,01/07/2023,25351.280059/2008-88,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 21/02/2024",Anuído,21/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676398237/,285.0,,,,
Não consta,0375160/23-0,14/04/2023,25351.554394/2019-81,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"70525 - INSUMOS FARMACÊUTICOS - RENOVAÇÃO de Certificação de Boas Práticas de Fabricação para Indústria INTERNACIONAL, exceto Mercosul - síntese química","COINS - COORDENAÇÃO DE INSPEÇÃO E FISCALIZAÇÃO DE INSUMOS FAMACÊUTICOS
                            Desde: 14/04/2023",Concluída análise,08/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0375160230/,363.0,,,,
BACINANTRAT,823861/11-8,16/09/2011,25000.027684/9689,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 06/07/2012",Revalidação automática,15/06/2012,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/823861118/,4591.0,,,,
BACINANTRAT,7232560/21-7,16/12/2021,25000.027684/9689,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11006 - RDC 73/2016 - SIMILAR - Alteração de razão social do local de fabricação do medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 18/04/2022",Anuído,18/04/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7232560217/,847.0,,,,
BENZIN,964162/10-9,01/12/2010,25000.024346/94,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 07/06/2011",Revalidação automática,26/08/2011,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/964162109/,4880.0,,,,
Não consta,,,,,,-,"- 
                        
                        Enc.:",,,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268687182/,,,,,
bromoprida,7632884/21-8,17/12/2021,25351.251691/2009-90,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11004 - RDC 73/2016 - GENÉRICO - Alteração de razão social do local de fabricação do medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 13/05/2022",Anuído,13/05/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7632884218/,846.0,,,,
bromoprida,0728930/23-4,14/07/2023,25351.251691/2009-90,LABORATÓRIO GLOBO SA,17.115.437/0001-73,1411 - GENERICO - Cancelamento de Registro do Medicamento,"GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                            Desde: 11/08/2023",Publicado deferimento em 11/08/2023.,11/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0728930234/,272.0,,,,
